OrderID,CustomerID,EmployeeID,OrderDate,ShipperID  
10248,2,5,04/07/2022,3
10249,3,6,05/07/2022,1
10250,9,4,08/07/2022,2
10251,14,3,08/07/2022,1
10252,15,4,09/07/2022,2
10253,9,2,10/07/2022,3
10254,9,4,11/07/2022,1
10255,8,1,12/07/2022,2
10256,7,5,13/07/2022,1
10257,2,3,14/07/2022,2
10258,11,4,15/07/2022,3
10259,21,2,16/07/2022,1
10260,6,6,17/07/2022,3
10261,4,5,18/07/2022,1
10262,11,2,19/07/2022,2
10263,12,3,20/07/2022,1
10264,18,4,21/07/2022,2
10265,10,6,22/07/2022,3
10266,19,5,23/07/2022,1
10267,8,2,24/07/2022,3
10268,22,1,25/07/2022,2
